Pw_cl_graph_340000_2.2_0: nnz= 1813114, density= 2.249860122842531e-05
Pw_cl_graph_340000_2.2_1: nnz= 1797418, density= 2.2309490383854576e-05
Pw_cl_graph_340000_2.2_2: nnz= 1802302, density= 2.2372159658037125e-05
Pw_cl_graph_340000_2.2_3: nnz= 1771930, density= 2.198074213593232e-05
Pw_cl_graph_340000_2.2_4: nnz= 1771936, density= 2.206840492137426e-05
Pw_cl_graph_340000_2.2_5: nnz= 1739038, density= 2.1629358659282326e-05
Pw_cl_graph_340000_2.2_6: nnz= 1740384, density= 2.1657860600367008e-05
Pw_cl_graph_340000_2.2_7: nnz= 1772934, density= 2.206401222865265e-05
Pw_cl_graph_340000_2.2_8: nnz= 1652184, density= 1.9331699793608516e-05
Pw_cl_graph_340000_2.2_9: nnz= 1762384, density= 2.1974714661802224e-05
Pw_cl_graph_350000_2.2_0: nnz= 1768634, density= 2.0782729370476063e-05
Pw_cl_graph_350000_2.2_1: nnz= 1803724, density= 2.1123171655486647e-05
Pw_cl_graph_350000_2.2_2: nnz= 1521582, density= 1.52488592114778e-05
Pw_cl_graph_350000_2.2_3: nnz= 1801774, density= 2.124038982318651e-05
Pw_cl_graph_350000_2.2_4: nnz= 1828680, density= 2.1472558645226833e-05
Pw_cl_graph_350000_2.2_5: nnz= 1819408, density= 2.1416345183579287e-05
Pw_cl_graph_350000_2.2_6: nnz= 1793680, density= 2.1129880137905527e-05
Pw_cl_graph_350000_2.2_7: nnz= 1817036, density= 2.1401492136649237e-05
Pw_cl_graph_350000_2.2_8: nnz= 1813754, density= 2.1279937568637172e-05
Pw_cl_graph_350000_2.2_9: nnz= 1796752, density= 2.1139505178662037e-05
Pw_cl_graph_360000_2.2_0: nnz= 1800040, density= 1.8908592637874477e-05
Pw_cl_graph_360000_2.2_1: nnz= 1877982, density= 2.08422826074981e-05
Pw_cl_graph_360000_2.2_2: nnz= 1865198, density= 2.070592080191125e-05
Pw_cl_graph_360000_2.2_3: nnz= 1956368, density= 2.1662549633244663e-05
Pw_cl_graph_360000_2.2_4: nnz= 1927300, density= 2.1394329049130976e-05
Pw_cl_graph_360000_2.2_5: nnz= 1896360, density= 2.0906022438871175e-05
Pw_cl_graph_360000_2.2_6: nnz= 1871472, density= 2.0780277506076225e-05
Pw_cl_graph_360000_2.2_7: nnz= 1817414, density= 2.0204532523832175e-05
Pw_cl_graph_360000_2.2_8: nnz= 1864068, density= 2.072761666226214e-05
Pw_cl_graph_360000_2.2_9: nnz= 1812726, density= 2.0140191570379606e-05
Pw_cl_graph_370000_2.2_0: nnz= 1876430, density= 1.9717424507011927e-05
Pw_cl_graph_370000_2.2_1: nnz= 1833730, density= 1.9302132997960914e-05
Pw_cl_graph_370000_2.2_2: nnz= 1878974, density= 1.972624818956283e-05
Pw_cl_graph_370000_2.2_3: nnz= 1926174, density= 1.995001024112882e-05
Pw_cl_graph_370000_2.2_4: nnz= 1957504, density= 2.0094837931018325e-05
Pw_cl_graph_370000_2.2_5: nnz= 2002772, density= 2.0825583005052903e-05
Pw_cl_graph_370000_2.2_6: nnz= 1885318, density= 1.9831256466091457e-05
Pw_cl_graph_370000_2.2_7: nnz= 1934162, density= 2.031735088559092e-05
Pw_cl_graph_370000_2.2_8: nnz= 1994590, density= 2.0894377909627166e-05
Pw_cl_graph_370000_2.2_9: nnz= 1922254, density= 2.0139749032429192e-05
Pw_cl_graph_380000_2.2_0: nnz= 2033990, density= 2.0068231073794937e-05
Pw_cl_graph_380000_2.2_1: nnz= 2002562, density= 1.9929051380285428e-05
Pw_cl_graph_380000_2.2_2: nnz= 1978938, density= 1.9679420822884297e-05
Pw_cl_graph_380000_2.2_3: nnz= 1914828, density= 1.911897808212054e-05
Pw_cl_graph_380000_2.2_4: nnz= 2052388, density= 2.029269254234843e-05
Pw_cl_graph_380000_2.2_5: nnz= 1920706, density= 1.9154661351212723e-05
Pw_cl_graph_380000_2.2_6: nnz= 2021148, density= 2.0080047630342545e-05
Pw_cl_graph_380000_2.2_7: nnz= 2041816, density= 2.0022867831262045e-05
Pw_cl_graph_380000_2.2_8: nnz= 1973666, density= 1.9644831188206354e-05
Pw_cl_graph_380000_2.2_9: nnz= 1977252, density= 1.949777130786066e-05
Pw_cl_graph_390000_2.2_0: nnz= 2014358, density= 1.9034632677689214e-05
Pw_cl_graph_390000_2.2_1: nnz= 1989840, density= 1.8754837462501633e-05
Pw_cl_graph_390000_2.2_2: nnz= 1968188, density= 1.8657147088929315e-05
Pw_cl_graph_390000_2.2_3: nnz= 2028402, density= 1.9189868590573942e-05
Pw_cl_graph_390000_2.2_4: nnz= 2052432, density= 1.9378444250676563e-05
Pw_cl_graph_390000_2.2_5: nnz= 1924556, density= 1.8233998973812685e-05
Pw_cl_graph_390000_2.2_6: nnz= 2001044, density= 1.8870169945345157e-05
Pw_cl_graph_390000_2.2_7: nnz= 2006936, density= 1.8735046778774003e-05
Pw_cl_graph_390000_2.2_8: nnz= 1978494, density= 1.8568232818802783e-05
Pw_cl_graph_390000_2.2_9: nnz= 2035468, density= 1.91415013987289e-05
Pw_cl_graph_400000_2.2_0: nnz= 2058966, density= 1.8502411515420844e-05
Pw_cl_graph_400000_2.2_1: nnz= 2088968, density= 1.882796502418763e-05
Pw_cl_graph_400000_2.2_2: nnz= 903602, density= 5.662564906139268e-06
Pw_cl_graph_400000_2.2_3: nnz= 2086240, density= 1.8732113670849066e-05
Pw_cl_graph_400000_2.2_4: nnz= 2071286, density= 1.8320014642550706e-05
Pw_cl_graph_400000_2.2_5: nnz= 2036934, density= 1.826454509208219e-05
Pw_cl_graph_400000_2.2_6: nnz= 2044670, density= 1.837912247991959e-05
Pw_cl_graph_400000_2.2_7: nnz= 2047530, density= 1.841476687993708e-05
Pw_cl_graph_400000_2.2_8: nnz= 2098422, density= 1.8879831501929278e-05
Pw_cl_graph_400000_2.2_9: nnz= 2019466, density= 1.786837461353395e-05
Pw_cl_graph_410000_2.2_0: nnz= 2077672, density= 1.7811018409499632e-05
Pw_cl_graph_410000_2.2_1: nnz= 2125932, density= 1.817286949554823e-05
Pw_cl_graph_410000_2.2_2: nnz= 2079858, density= 1.7838009126975455e-05
Pw_cl_graph_410000_2.2_3: nnz= 2114130, density= 1.8176418580047736e-05
Pw_cl_graph_410000_2.2_4: nnz= 2134426, density= 1.8225543201449176e-05
Pw_cl_graph_410000_2.2_5: nnz= 2207730, density= 1.886183558022076e-05
Pw_cl_graph_410000_2.2_6: nnz= 2111928, density= 1.8062770908616336e-05
Pw_cl_graph_410000_2.2_7: nnz= 2153462, density= 1.8465491994779752e-05
Pw_cl_graph_410000_2.2_8: nnz= 2101858, density= 1.793350774977623e-05
Pw_cl_graph_410000_2.2_9: nnz= 2149320, density= 1.8344036008207076e-05
Pw_cl_graph_420000_2.2_0: nnz= 2085164, density= 1.7006777681903276e-05
Pw_cl_graph_420000_2.2_1: nnz= 2171854, density= 1.7629948325717125e-05
Pw_cl_graph_420000_2.2_2: nnz= 2160378, density= 1.753009899184959e-05
Pw_cl_graph_420000_2.2_3: nnz= 2199986, density= 1.7962867050330112e-05
Pw_cl_graph_420000_2.2_4: nnz= 2197738, density= 1.796884142658678e-05
Pw_cl_graph_420000_2.2_5: nnz= 2191528, density= 1.791417488933742e-05
Pw_cl_graph_420000_2.2_6: nnz= 2258858, density= 1.8405354628785655e-05
Pw_cl_graph_420000_2.2_7: nnz= 2127470, density= 1.6804276614196216e-05
Pw_cl_graph_420000_2.2_8: nnz= 2251692, density= 1.8260753424648575e-05
Pw_cl_graph_420000_2.2_9: nnz= 2176324, density= 1.7684165637228318e-05
Pw_cl_graph_430000_2.2_0: nnz= 2253286, density= 1.7522291606501816e-05
Pw_cl_graph_430000_2.2_1: nnz= 2220440, density= 1.726311520094409e-05
Pw_cl_graph_430000_2.2_2: nnz= 2237496, density= 1.7439942689367868e-05
Pw_cl_graph_430000_2.2_3: nnz= 2224526, density= 1.7319792510505176e-05
Pw_cl_graph_430000_2.2_4: nnz= 2284590, density= 1.7672653569662934e-05
