Pw_cl_graph_310000_1.8_5: nnz= 4132178, density= 5.226862305682482e-05
Pw_cl_graph_310000_1.8_6: nnz= 5179176, density= 6.97847253721556e-05
Pw_cl_graph_310000_1.8_7: nnz= 4289346, density= 5.565713767770032e-05
Pw_cl_graph_310000_1.8_8: nnz= 4216472, density= 5.5426793703183e-05
Pw_cl_graph_310000_1.8_9: nnz= 4047804, density= 5.179761978122888e-05
Pw_cl_graph_320000_1.8_0: nnz= 3740204, density= 4.513197835253366e-05
Pw_cl_graph_320000_1.8_1: nnz= 4754462, density= 5.854966737248866e-05
Pw_cl_graph_320000_1.8_2: nnz= 5125844, density= 6.393450695950865e-05
Pw_cl_graph_320000_1.8_3: nnz= 5565442, density= 7.068502618569122e-05
Pw_cl_graph_320000_1.8_4: nnz= 4404728, density= 5.258210983034832e-05
Pw_cl_graph_320000_1.8_5: nnz= 6222126, density= 7.941659859158786e-05
Pw_cl_graph_320000_1.8_6: nnz= 1269998, density= 1.2441717679899276e-05
Pw_cl_graph_320000_1.8_7: nnz= 5178920, density= 6.535646818612232e-05
Pw_cl_graph_320000_1.8_8: nnz= 4236384, density= 5.11700653311224e-05
Pw_cl_graph_320000_1.8_9: nnz= 2411160, density= 2.482339115036828e-05
Pw_cl_graph_330000_1.8_0: nnz= 4443692, density= 5.1062592667378465e-05
Pw_cl_graph_330000_1.8_1: nnz= 2607070, density= 2.8247685629541568e-05
Pw_cl_graph_330000_1.8_2: nnz= 4172328, density= 4.778643413858666e-05
Pw_cl_graph_330000_1.8_3: nnz= 6100086, density= 7.30431248871076e-05
Pw_cl_graph_330000_1.8_4: nnz= 4186600, density= 4.671626634646119e-05
Pw_cl_graph_330000_1.8_5: nnz= 5317982, density= 6.317955404460445e-05
Pw_cl_graph_330000_1.8_6: nnz= 4724598, density= 5.5466097377322765e-05
Pw_cl_graph_330000_1.8_7: nnz= 5580758, density= 6.566074856324479e-05
Pw_cl_graph_330000_1.8_8: nnz= 4267798, density= 4.5382326968421644e-05
Pw_cl_graph_330000_1.8_9: nnz= 4097924, density= 4.477352245073169e-05
Pw_cl_graph_340000_1.8_0: nnz= 4933030, density= 5.155586732625516e-05
Pw_cl_graph_340000_1.8_1: nnz= 4965834, density= 5.26229538347781e-05
Pw_cl_graph_340000_1.8_2: nnz= 4908582, density= 5.213940514813656e-05
Pw_cl_graph_340000_1.8_3: nnz= 5400214, density= 6.029586161273822e-05
Pw_cl_graph_340000_1.8_4: nnz= 4925642, density= 5.3844494855130975e-05
Pw_cl_graph_340000_1.8_5: nnz= 5686822, density= 6.380815919179679e-05
Pw_cl_graph_340000_1.8_6: nnz= 5603312, density= 6.287535955786975e-05
Pw_cl_graph_340000_1.8_7: nnz= 4064058, density= 4.140792489137912e-05
Pw_cl_graph_340000_1.8_8: nnz= 3432776, density= 3.294007615137128e-05
Pw_cl_graph_340000_1.8_9: nnz= 1205590, density= 1.0481382141785292e-05
Pw_cl_graph_350000_1.8_0: nnz= 5111806, density= 5.3527021719954676e-05
Pw_cl_graph_350000_1.8_1: nnz= 5271276, density= 5.513476770328776e-05
Pw_cl_graph_350000_1.8_2: nnz= 6033640, density= 6.3254264106226e-05
Pw_cl_graph_350000_1.8_3: nnz= 5619142, density= 5.9167943112397624e-05
Pw_cl_graph_350000_1.8_4: nnz= 3244594, density= 2.9267042868766743e-05
Pw_cl_graph_350000_1.8_5: nnz= 5751486, density= 5.9622190263990916e-05
Pw_cl_graph_350000_1.8_6: nnz= 6806880, density= 7.246853546295178e-05
Pw_cl_graph_350000_1.8_7: nnz= 2180582, density= 1.99935263935157e-05
Pw_cl_graph_350000_1.8_8: nnz= 4909064, density= 5.083430071547356e-05
Pw_cl_graph_350000_1.8_9: nnz= 6662564, density= 7.076113656896528e-05
Pw_cl_graph_360000_1.8_0: nnz= 7022306, density= 7.05429297902982e-05
